WEEK,COUNTRY,EVENT_TYPE,EVENTS,CENTROID_LATITUDE,CENTROID_LONGITUDE
04/11/2020,Russia,Riots,1,52.5418,82.7009
11/10/2018,Russia,Violence against civilians,1,52.5418,82.7009
07/02/2022,Russia,Violence against civilians,1,52.5418,82.7009
03/11/2023,Russia,Violence against civilians,1,52.5418,82.7009
05/31/2025,Russia,Violence against civilians,1,52.5418,82.7009
06/21/2025,Russia,Violence against civilians,1,52.5418,82.7009
08/30/2025,Russia,Violence against civilians,1,52.5418,82.7009
06/07/2025,Russia,Violence against civilians,1,52.5418,82.7009
06/14/2025,Russia,Violence against civilians,1,52.5418,82.7009
06/21/2025,Russia,Violence against civilians,1,52.5418,82.7009
08/23/2025,Russia,Violence against civilians,1,52.5418,82.7009
09/13/2025,Russia,Violence against civilians,1,52.5418,82.7009
09/20/2025,Russia,Violence against civilians,1,52.5418,82.7009
05/31/2025,Russia,Explosions/Remote violence,1,52.9573,130.1919
07/11/2020,Russia,Riots,1,52.9573,130.1919
06/05/2021,Russia,Violence against civilians,1,52.9573,130.1919
09/18/2021,Russia,Violence against civilians,1,52.9573,130.1919
10/27/2018,Russia,Explosions/Remote violence,1,63.5471,41.4717
05/04/2019,Russia,Riots,1,63.5471,41.4717
05/25/2019,Russia,Riots,1,63.5471,41.4717
10/13/2018,Russia,Violence against civilians,1,63.5471,41.4717
11/03/2018,Russia,Violence against civilians,1,63.5471,41.4717
09/13/2025,Russia,Violence against civilians,1,63.5471,41.4717
06/08/2024,Russia,Explosions/Remote violence,1,47.1094,47.7101
07/06/2024,Russia,Explosions/Remote violence,2,47.1094,47.7101
11/16/2024,Russia,Explosions/Remote violence,1,47.1094,47.7101
11/30/2024,Russia,Explosions/Remote violence,1,47.1094,47.7101
02/01/2025,Russia,Explosions/Remote violence,1,47.1094,47.7101
03/15/2025,Russia,Explosions/Remote violence,1,47.1094,47.7101
03/22/2025,Russia,Explosions/Remote violence,1,47.1094,47.7101
08/09/2025,Russia,Explosions/Remote violence,1,47.1094,47.7101
09/20/2025,Russia,Explosions/Remote violence,1,47.1094,47.7101
09/27/2025,Russia,Explosions/Remote violence,1,47.1094,47.7101
08/19/2023,Russia,Violence against civilians,1,47.1094,47.7101
03/15/2025,Russia,Violence against civilians,1,47.1094,47.7101
08/30/2025,Russia,Violence against civilians,1,47.1094,47.7101
08/17/2024,Russia,Violence against civilians,1,47.1094,47.7101
03/26/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/30/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
07/02/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
02/04/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
02/11/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
